simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,action_0,action_1,action_2,action_3,action_4,action_5,personal_reward_0,personal_reward_1,personal_reward_2,personal_reward_3,personal_reward_4,personal_reward_5,empathic_reward_0,empathic_reward_1,empathic_reward_2,empathic_reward_3,empathic_reward_4,empathic_reward_5,total_reward_0,total_reward_1,total_reward_2,total_reward_3,total_reward_4,total_reward_5
4,4,0,0,499.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,0,0,0,0.55,0.0,0.0,0.0,0.0,0.0,-1.0,-0.96,-0.96,-0.96,-0.96,-0.96,-0.22499999999999998,-0.48,-0.48,-0.48,-0.48,-0.48
4,4,0,1,497.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,1,0,0,0,0.05,0.55,0.55,0.0,0.0,0.0,-0.9199999999999999,-0.9199999999999999,-0.9199999999999999,-0.8800000000000001,-0.8800000000000001,-0.8800000000000001,-0.43499999999999994,-0.18499999999999994,-0.18499999999999994,-0.44000000000000006,-0.44000000000000006,-0.44000000000000006
4,4,0,2,495.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,1,1,0,0.05,0.05,0.05,0.55,0.55,0.0,-0.8400000000000001,-0.8400000000000001,-0.8400000000000001,-0.8400000000000001,-0.8400000000000001,-0.8,-0.395,-0.395,-0.395,-0.14500000000000002,-0.14500000000000002,-0.4
4,4,0,3,490.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,1,0.6,0.6,0.6,0.05,0.6,0.55,-0.68,-0.68,-0.68,-0.64,-0.6799999999999999,-0.6399999999999999,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.295,-0.03999999999999998,-0.04499999999999993
4,4,0,4,487.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,1,0,1,0.65,0.1,0.1,0.6,0.1,0.6,-0.6,-0.56,-0.56,-0.56,-0.56,-0.56,0.025000000000000022,-0.23000000000000004,-0.23000000000000004,0.019999999999999962,-0.23000000000000004,0.019999999999999962
4,4,0,5,485.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,0,1,0,0,0.7,0.1,0.1,0.65,0.1,0.1,-0.56,-0.48,-0.48,-0.52,-0.48,-0.48,0.06999999999999995,-0.19,-0.19,0.065,-0.19,-0.19
4,4,0,6,483.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,1,0,0,0,0.2,0.65,0.65,0.15,0.1,0.1,-0.4800000000000001,-0.44000000000000006,-0.44000000000000006,-0.44000000000000006,-0.4,-0.4,-0.14000000000000004,0.10499999999999998,0.10499999999999998,-0.14500000000000002,-0.15000000000000002,-0.15000000000000002
4,4,0,7,479.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,0,0.75,0.7,0.7,0.15,0.65,0.1,-0.36,-0.32,-0.32,-0.27999999999999997,-0.27999999999999997,-0.24,0.195,0.18999999999999997,0.18999999999999997,-0.06499999999999999,0.18500000000000003,-0.06999999999999999
4,4,0,8,478.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,0,0,0,0.25,0.75,0.2,0.15,0.15,0.1,-0.32,-0.32,-0.27999999999999997,-0.24,-0.24,-0.2,-0.035,0.215,-0.03999999999999998,-0.045,-0.045,-0.05
4,4,0,9,473.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,0,1,1,1,1,0.8,0.25,0.75,0.7,0.7,0.65,-0.15999999999999998,-0.12,-0.12,-0.08,-0.08,-0.039999999999999994,0.32000000000000006,0.065,0.315,0.31,0.31,0.305
4,4,0,10,470.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,1,0,0,1,0.25,0.8,0.8,0.2,0.2,0.7,-0.039999999999999994,-0.07999999999999999,-0.07999999999999999,0.0,0.0,0.0,0.10500000000000001,0.36000000000000004,0.36000000000000004,0.1,0.1,0.35
