seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,action_0,action_1,personal_reward_0,personal_reward_1,empathic_reward_0,empathic_reward_1,total_reward_0,total_reward_1
1,0,0,98.0,100,500,[-1.],1,0.55,-0.8,-0.125,[-1.],1,0.55,-0.8,-0.125
1,0,1,98.0,100,500,[-0.8],0,0.05,-0.8,-0.375,[-0.8],0,0.05,-0.8,-0.375
1,0,2,96.0,100,500,[-0.8],1,0.6,-0.6,0.0,[-0.8],1,0.6,-0.6,0.0
1,0,3,95.0,100,500,[-0.6],1,0.65,-0.6,0.025000000000000022,[-0.6],0,0.1,-0.4,-0.15000000000000002
1,0,4,94.0,100,500,[-0.6],0,0.15,-0.4,-0.125,[-0.4],1,0.65,-0.4,0.125
1,0,5,93.0,100,500,[-0.4],1,0.7,-0.4,0.14999999999999997,[-0.4],1,0.15,-0.19999999999999996,-0.02499999999999998
1,0,6,93.0,100,500,[-0.4],0,0.2,-0.4,-0.1,[-0.2],0,0.15,-0.19999999999999996,-0.02499999999999998
1,0,7,91.0,100,500,[-0.4],1,0.75,-0.19999999999999996,0.275,[-0.2],1,0.7,0.0,0.35
1,0,8,89.0,100,500,[-0.2],1,0.8,0.0,0.4,[0.],1,0.75,0.19999999999999996,0.475
1,0,9,89.0,100,500,[0.],1,0.3,0.0,0.15,[0.2],0,0.25,0.19999999999999996,0.22499999999999998
1,0,10,87.0,100,500,[0.],1,0.8,0.0,0.4,[0.2],1,0.75,0.19999999999999996,0.475
1,0,11,87.0,100,500,[0.],0,0.3,0.0,0.15,[0.2],0,0.25,0.19999999999999996,0.22499999999999998
1,0,12,86.0,100,500,[0.],0,0.25,0.0,0.125,[0.2],1,0.75,0.0,0.375
1,0,13,85.0,100,500,[0.],0,0.2,0.19999999999999996,0.19999999999999998,[0.],1,0.8,-0.19999999999999996,0.30000000000000004
1,0,14,84.0,100,500,[0.2],1,0.75,0.0,0.375,[-0.2],0,0.25,0.0,0.125
1,0,15,83.0,100,500,[0.],1,0.75,0.0,0.375,[0.],1,0.25,0.0,0.125
1,0,16,82.0,100,500,[0.],0,0.25,0.19999999999999996,0.22499999999999998,[0.],1,0.8,0.0,0.4
1,0,17,81.0,100,500,[0.2],0,0.2,0.19999999999999996,0.19999999999999998,[0.],1,0.8,-0.19999999999999996,0.30000000000000004
1,0,18,79.0,100,500,[0.2],1,0.7,0.19999999999999996,0.44999999999999996,[-0.2],1,0.8,-0.19999999999999996,0.30000000000000004
1,0,19,77.0,100,500,[0.2],1,0.75,0.3999999999999999,0.575,[-0.2],1,0.85,0.0,0.425
1,0,20,77.0,100,500,[0.4],1,0.2,0.19999999999999996,0.19999999999999998,[0.],0,0.3,-0.19999999999999996,0.05000000000000002
1,0,21,75.0,100,500,[0.2],1,0.75,0.3999999999999999,0.575,[-0.2],1,0.85,0.0,0.425
1,0,22,73.0,100,500,[0.4],1,0.8,0.3999999999999999,0.6,[0.],1,0.85,0.19999999999999996,0.5249999999999999
1,0,23,72.0,100,500,[0.4],1,0.85,0.19999999999999996,0.5249999999999999,[0.2],0,0.3,0.3999999999999999,0.35
1,0,24,71.0,100,500,[0.2],1,0.3,0.3999999999999999,0.35,[0.4],1,0.85,0.19999999999999996,0.5249999999999999
1,0,25,71.0,100,500,[0.4],0,0.25,0.3999999999999999,0.32499999999999996,[0.2],1,0.35,0.0,0.175
1,0,26,70.0,100,500,[0.4],1,0.8,0.19999999999999996,0.5,[0.],0,0.3,0.19999999999999996,0.24999999999999997
1,0,27,70.0,100,500,[0.2],1,0.3,0.0,0.15,[0.2],1,0.25,0.19999999999999996,0.22499999999999998
1,0,28,69.0,100,500,[0.],1,0.8,-0.19999999999999996,0.30000000000000004,[0.2],0,0.2,0.19999999999999996,0.19999999999999998
1,0,29,68.0,100,500,[-0.2],1,0.8,-0.4,0.2,[0.2],0,0.15,0.19999999999999996,0.175
1,0,30,68.0,100,500,[-0.4],1,0.3,-0.4,-0.05000000000000002,[0.2],0,0.15,0.19999999999999996,0.175
1,0,31,66.0,100,500,[-0.4],1,0.8,-0.4,0.2,[0.2],1,0.65,0.19999999999999996,0.425
1,0,32,65.0,100,500,[-0.4],1,0.8,-0.6,0.10000000000000003,[0.2],0,0.1,0.19999999999999996,0.14999999999999997
1,0,33,64.0,100,500,[-0.6],1,0.8,-0.6,0.10000000000000003,[0.2],0,0.1,0.19999999999999996,0.14999999999999997
1,0,34,64.0,100,500,[-0.6],0,0.3,-0.8,-0.25,[0.2],0,0.05,0.19999999999999996,0.12499999999999997
1,0,35,62.0,100,500,[-0.8],1,0.85,-0.6,0.125,[0.2],1,0.6,0.3999999999999999,0.49999999999999994
1,0,36,62.0,100,500,[-0.6],1,0.3,-0.6,-0.15,[0.4],0,0.1,0.19999999999999996,0.14999999999999997
1,0,37,62.0,100,500,[-0.6],1,0.3,-0.6,-0.15,[0.2],0,0.1,0.19999999999999996,0.14999999999999997
1,0,38,62.0,100,500,[-0.6],1,0.25,-0.6,-0.175,[0.2],0,0.1,0.0,0.05
1,0,39,62.0,100,500,[-0.6],0,0.2,-0.6,-0.19999999999999998,[0.],0,0.1,-0.19999999999999996,-0.049999999999999975
1,0,40,62.0,100,500,[-0.6],0,0.2,-0.6,-0.19999999999999998,[-0.2],0,0.1,-0.19999999999999996,-0.049999999999999975
1,0,41,62.0,100,500,[-0.6],0,0.15,-0.8,-0.325,[-0.2],0,0.05,-0.4,-0.17500000000000002
1,0,42,61.0,100,500,[-0.8],0,0.1,-0.6,-0.25,[-0.4],1,0.6,-0.6,0.0
1,0,43,60.0,100,500,[-0.6],0,0.05,-0.4,-0.17500000000000002,[-0.6],1,0.65,-0.8,-0.07500000000000001
1,0,44,59.0,100,500,[-0.4],1,0.6,-0.4,0.09999999999999998,[-0.8],0,0.15,-0.6,-0.22499999999999998
1,0,45,58.0,100,500,[-0.4],1,0.6,-0.6,0.0,[-0.6],0,0.1,-0.6,-0.25
1,0,46,57.0,100,500,[-0.6],1,0.65,-0.6,0.025000000000000022,[-0.6],0,0.1,-0.4,-0.15000000000000002
1,0,47,57.0,100,500,[-0.6],0,0.15,-0.6,-0.22499999999999998,[-0.4],0,0.1,-0.4,-0.15000000000000002
1,0,48,56.0,100,500,[-0.6],1,0.15,-0.4,-0.125,[-0.4],1,0.65,-0.4,0.125
1,0,49,56.0,100,500,[-0.4],0,0.15,-0.4,-0.125,[-0.4],0,0.15,-0.4,-0.125
1,0,50,56.0,100,500,[-0.4],1,0.15,-0.4,-0.125,[-0.4],1,0.15,-0.4,-0.125
1,0,51,56.0,100,500,[-0.4],1,0.15,-0.4,-0.125,[-0.4],0,0.15,-0.4,-0.125
1,0,52,56.0,100,500,[-0.4],0,0.15,-0.6,-0.22499999999999998,[-0.4],0,0.1,-0.4,-0.15000000000000002
1,0,53,56.0,100,500,[-0.6],0,0.15,-0.8,-0.325,[-0.4],0,0.05,-0.4,-0.17500000000000002
1,0,54,55.0,100,500,[-0.8],1,0.1,-0.6,-0.25,[-0.4],1,0.6,-0.6,0.0
1,0,55,55.0,100,500,[-0.6],0,0.05,-0.6,-0.27499999999999997,[-0.6],0,0.1,-0.8,-0.35000000000000003
1,0,56,55.0,100,500,[-0.6],0,0.0,-0.6,-0.3,[-0.8],1,0.1,-1.0,-0.45
1,0,57,55.0,100,500,[-0.6],0,0.0,-0.6,-0.3,[-1.],1,0.1,-1.0,-0.45
1,0,58,54.0,100,500,[-0.6],0,0.0,-0.6,-0.3,[-1.],1,0.6,-1.0,-0.2
1,0,59,53.0,100,500,[-0.6],1,0.0,-0.4,-0.2,[-1.],1,0.65,-1.0,-0.175
1,0,60,52.0,100,500,[-0.4],1,0.55,-0.4,0.07500000000000001,[-1.],0,0.15,-0.8,-0.325
1,0,61,51.0,100,500,[-0.4],0,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],1,0.7,-0.8,-0.050000000000000044
1,0,62,51.0,100,500,[-0.2],1,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],0,0.2,-0.8,-0.30000000000000004
1,0,63,51.0,100,500,[-0.2],1,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],1,0.2,-0.8,-0.30000000000000004
1,0,64,51.0,100,500,[-0.2],1,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.15,-0.8,-0.325
1,0,65,50.0,100,500,[-0.4],0,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],1,0.7,-0.8,-0.050000000000000044
1,0,66,50.0,100,500,[-0.2],1,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],1,0.2,-0.8,-0.30000000000000004
1,0,67,50.0,100,500,[-0.2],0,0.05,-0.19999999999999996,-0.07499999999999998,[-0.8],0,0.2,-0.8,-0.30000000000000004
1,0,68,49.0,100,500,[-0.2],1,0.6,-0.4,0.09999999999999998,[-0.8],0,0.15,-0.6,-0.22499999999999998
1,0,69,49.0,100,500,[-0.4],0,0.1,-0.6,-0.25,[-0.6],1,0.1,-0.6,-0.25
1,0,70,48.0,100,500,[-0.6],0,0.05,-0.4,-0.17500000000000002,[-0.6],1,0.65,-0.8,-0.07500000000000001
1,0,71,47.0,100,500,[-0.4],1,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.65,-0.8,-0.07500000000000001
1,0,72,47.0,100,500,[-0.4],0,0.05,-0.4,-0.17500000000000002,[-0.8],0,0.15,-0.8,-0.325
1,0,73,45.0,100,500,[-0.4],1,0.6,-0.19999999999999996,0.2,[-0.8],1,0.7,-0.6,0.04999999999999999
1,0,74,45.0,100,500,[-0.2],0,0.1,-0.19999999999999996,-0.049999999999999975,[-0.6],1,0.2,-0.6,-0.19999999999999998
1,0,75,44.0,100,500,[-0.2],1,0.65,-0.4,0.125,[-0.6],1,0.15,-0.4,-0.125
1,0,76,42.0,100,500,[-0.4],1,0.7,-0.19999999999999996,0.25,[-0.4],1,0.7,-0.19999999999999996,0.25
1,0,77,41.0,100,500,[-0.2],0,0.2,0.0,0.1,[-0.2],1,0.75,-0.19999999999999996,0.275
1,0,78,41.0,100,500,[0.],0,0.15,0.0,0.075,[-0.2],0,0.25,-0.4,-0.07500000000000001
1,0,79,39.0,100,500,[0.],1,0.7,0.19999999999999996,0.44999999999999996,[-0.4],1,0.8,-0.19999999999999996,0.30000000000000004
1,0,80,37.0,100,500,[0.2],1,0.75,0.19999999999999996,0.475,[-0.2],1,0.8,0.0,0.4
1,0,81,36.0,100,500,[0.2],1,0.8,0.0,0.4,[0.],0,0.25,0.19999999999999996,0.22499999999999998
1,0,82,34.0,100,500,[0.],1,0.85,0.19999999999999996,0.5249999999999999,[0.2],1,0.8,0.3999999999999999,0.6
1,0,83,34.0,100,500,[0.2],1,0.3,0.0,0.15,[0.4],1,0.25,0.19999999999999996,0.22499999999999998
1,0,84,33.0,100,500,[0.],1,0.3,0.19999999999999996,0.24999999999999997,[0.2],1,0.8,0.19999999999999996,0.5
1,0,85,33.0,100,500,[0.2],0,0.25,0.19999999999999996,0.22499999999999998,[0.2],0,0.3,0.0,0.15
1,0,86,33.0,100,500,[0.2],0,0.2,0.0,0.1,[0.],0,0.25,-0.19999999999999996,0.025000000000000022
1,0,87,33.0,100,500,[0.],1,0.2,-0.19999999999999996,2.7755575615628914e-17,[-0.2],1,0.2,-0.19999999999999996,2.7755575615628914e-17
1,0,88,33.0,100,500,[-0.2],0,0.2,-0.19999999999999996,2.7755575615628914e-17,[-0.2],0,0.2,-0.19999999999999996,2.7755575615628914e-17
1,0,89,32.0,100,500,[-0.2],1,0.7,-0.4,0.14999999999999997,[-0.2],0,0.15,-0.19999999999999996,-0.02499999999999998
1,0,90,32.0,100,500,[-0.4],1,0.15,-0.6,-0.22499999999999998,[-0.2],1,0.1,-0.4,-0.15000000000000002
1,0,91,31.0,100,500,[-0.6],1,0.65,-0.6,0.025000000000000022,[-0.4],0,0.1,-0.4,-0.15000000000000002
1,0,92,30.0,100,500,[-0.6],1,0.65,-0.8,-0.07500000000000001,[-0.4],0,0.05,-0.4,-0.17500000000000002
1,0,93,30.0,100,500,[-0.8],0,0.15,-0.8,-0.325,[-0.4],1,0.05,-0.4,-0.17500000000000002
1,0,94,30.0,100,500,[-0.8],0,0.15,-1.0,-0.425,[-0.4],0,0.0,-0.4,-0.2
1,0,95,29.0,100,500,[-1.],1,0.7,-1.0,-0.15000000000000002,[-0.4],0,0.0,-0.19999999999999996,-0.09999999999999998
1,0,96,29.0,100,500,[-1.],1,0.2,-1.0,-0.4,[-0.2],0,0.0,-0.19999999999999996,-0.09999999999999998
1,0,97,28.0,100,500,[-1.],1,0.75,-1.0,-0.125,[-0.2],1,0.0,0.0,0.0
1,0,98,28.0,100,500,[-1.],0,0.25,-1.0,-0.375,[0.],0,0.0,0.0,0.0
1,0,99,28.0,100,500,[-1.],0,0.2,-1.0,-0.4,[0.],0,0.0,-0.19999999999999996,-0.09999999999999998
1,0,100,28.0,100,500,[-1.],0,0.2,-1.0,-0.4,[-0.2],0,0.0,-0.19999999999999996,-0.09999999999999998
1,0,101,28.0,100,500,[-1.],0,0.15,-1.0,-0.425,[-0.2],0,0.0,-0.4,-0.2
1,0,102,28.0,100,500,[-1.],0,0.1,-1.0,-0.45,[-0.4],1,0.0,-0.6,-0.3
1,0,103,27.0,100,500,[-1.],1,0.1,-0.8,-0.35000000000000003,[-0.6],1,0.55,-0.6,-0.024999999999999967
1,0,104,27.0,100,500,[-0.8],0,0.1,-0.8,-0.35000000000000003,[-0.6],0,0.05,-0.6,-0.27499999999999997
1,0,105,27.0,100,500,[-0.8],0,0.05,-0.8,-0.375,[-0.6],0,0.05,-0.8,-0.375
1,0,106,27.0,100,500,[-0.8],0,0.05,-0.8,-0.375,[-0.8],1,0.05,-0.8,-0.375
1,0,107,27.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-0.8],1,0.05,-1.0,-0.475
1,0,108,27.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],1,0.05,-1.0,-0.475
1,0,109,27.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],1,0.05,-1.0,-0.475
1,0,110,25.0,100,500,[-0.8],1,0.55,-0.6,-0.024999999999999967,[-1.],1,0.6,-0.8,-0.10000000000000003
1,0,111,24.0,100,500,[-0.6],0,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.65,-0.8,-0.07500000000000001
1,0,112,23.0,100,500,[-0.4],1,0.6,-0.4,0.09999999999999998,[-0.8],0,0.15,-0.6,-0.22499999999999998
1,0,113,23.0,100,500,[-0.4],0,0.1,-0.6,-0.25,[-0.6],0,0.1,-0.6,-0.25
1,0,114,22.0,100,500,[-0.6],0,0.1,-0.4,-0.15000000000000002,[-0.6],1,0.65,-0.6,0.025000000000000022
1,0,115,22.0,100,500,[-0.4],1,0.1,-0.4,-0.15000000000000002,[-0.6],1,0.15,-0.6,-0.22499999999999998
1,0,116,22.0,100,500,[-0.4],1,0.1,-0.4,-0.15000000000000002,[-0.6],0,0.15,-0.6,-0.22499999999999998
1,0,117,22.0,100,500,[-0.4],1,0.1,-0.4,-0.15000000000000002,[-0.6],0,0.15,-0.6,-0.22499999999999998
1,0,118,22.0,100,500,[-0.4],0,0.1,-0.4,-0.15000000000000002,[-0.6],0,0.15,-0.6,-0.22499999999999998
1,0,119,22.0,100,500,[-0.4],0,0.1,-0.4,-0.15000000000000002,[-0.6],0,0.15,-0.6,-0.22499999999999998
1,0,120,22.0,100,500,[-0.4],1,0.05,-0.6,-0.27499999999999997,[-0.6],1,0.1,-0.8,-0.35000000000000003
1,0,121,22.0,100,500,[-0.6],1,0.05,-0.8,-0.375,[-0.8],1,0.05,-0.8,-0.375
1,0,122,22.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-0.8],1,0.05,-1.0,-0.475
1,0,123,22.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,124,21.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],1,0.55,-1.0,-0.22499999999999998
1,0,125,21.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,126,21.0,100,500,[-0.8],1,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,127,20.0,100,500,[-0.8],1,0.0,-0.6,-0.3,[-1.],1,0.6,-1.0,-0.2
1,0,128,20.0,100,500,[-0.6],1,0.0,-0.6,-0.3,[-1.],0,0.1,-1.0,-0.45
1,0,129,20.0,100,500,[-0.6],1,0.0,-0.6,-0.3,[-1.],0,0.1,-1.0,-0.45
1,0,130,19.0,100,500,[-0.6],0,0.0,-0.4,-0.2,[-1.],1,0.65,-1.0,-0.175
1,0,131,18.0,100,500,[-0.4],1,0.55,-0.4,0.07500000000000001,[-1.],0,0.15,-0.8,-0.325
1,0,132,18.0,100,500,[-0.4],1,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.15,-0.8,-0.325
1,0,133,18.0,100,500,[-0.4],0,0.05,-0.4,-0.17500000000000002,[-0.8],0,0.15,-0.8,-0.325
1,0,134,17.0,100,500,[-0.4],0,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.65,-0.8,-0.07500000000000001
1,0,135,17.0,100,500,[-0.4],1,0.05,-0.4,-0.17500000000000002,[-0.8],1,0.15,-0.8,-0.325
1,0,136,17.0,100,500,[-0.4],0,0.05,-0.4,-0.17500000000000002,[-0.8],0,0.15,-0.8,-0.325
1,0,137,17.0,100,500,[-0.4],1,0.05,-0.6,-0.27499999999999997,[-0.8],1,0.1,-0.8,-0.35000000000000003
1,0,138,17.0,100,500,[-0.6],0,0.05,-0.6,-0.27499999999999997,[-0.8],0,0.1,-0.8,-0.35000000000000003
1,0,139,17.0,100,500,[-0.6],0,0.05,-0.6,-0.27499999999999997,[-0.8],0,0.1,-0.8,-0.35000000000000003
1,0,140,17.0,100,500,[-0.6],1,0.05,-0.8,-0.375,[-0.8],0,0.05,-0.8,-0.375
1,0,141,17.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-0.8],0,0.05,-1.0,-0.475
1,0,142,17.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,143,17.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,144,17.0,100,500,[-0.8],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,145,17.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,146,17.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,147,17.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,148,17.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5
1,0,149,17.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,150,16.0,100,500,[-1.],1,0.55,-1.0,-0.22499999999999998,[-1.],0,0.0,-0.8,-0.4
1,0,151,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.8],1,0.0,-0.8,-0.4
1,0,152,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],1,0.0,-0.8,-0.4
1,0,153,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,154,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,155,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,156,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,157,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],1,0.0,-0.8,-0.4
1,0,158,16.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,159,16.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.8,-0.4
1,0,160,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-0.8],0,0.0,-1.0,-0.5
1,0,161,16.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5
1,0,162,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,163,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,164,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5
1,0,165,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,166,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,167,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],1,0.0,-1.0,-0.5
1,0,168,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,169,16.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,170,16.0,100,500,[-1.],1,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,171,15.0,100,500,[-1.],0,0.0,-0.8,-0.4,[-1.],1,0.55,-1.0,-0.22499999999999998
1,0,172,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,173,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,174,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,175,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,176,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,177,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],1,0.05,-1.0,-0.475
1,0,178,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,179,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,180,15.0,100,500,[-0.8],0,0.0,-0.8,-0.4,[-1.],0,0.05,-1.0,-0.475
1,0,181,15.0,100,500,[-0.8],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
1,0,182,15.0,100,500,[-1.],0,0.0,-1.0,-0.5,[-1.],0,0.0,-1.0,-0.5
