simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,action_0,action_1,action_2,action_3,action_4,action_5,personal_reward_0,personal_reward_1,personal_reward_2,personal_reward_3,personal_reward_4,personal_reward_5,empathic_reward_0,empathic_reward_1,empathic_reward_2,empathic_reward_3,empathic_reward_4,empathic_reward_5,total_reward_0,total_reward_1,total_reward_2,total_reward_3,total_reward_4,total_reward_5
1,1,0,0,495.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,1,1,0.55,0.55,0.0,0.55,0.55,0.55,-0.8400000000000001,-0.8400000000000001,-0.8,-0.8400000000000001,-0.8400000000000001,-0.8400000000000001,-0.14500000000000002,-0.14500000000000002,-0.4,-0.14500000000000002,-0.14500000000000002,-0.14500000000000002
1,1,0,1,491.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,0,1,0.6,0.6,0.55,0.05,0.05,0.6,-0.72,-0.72,-0.6799999999999999,-0.6799999999999999,-0.6799999999999999,-0.72,-0.06,-0.06,-0.06499999999999995,-0.31499999999999995,-0.31499999999999995,-0.06
1,1,0,2,488.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,0,0,0.65,0.65,0.05,0.6,0.05,0.1,-0.6400000000000001,-0.6400000000000001,-0.56,-0.6000000000000001,-0.56,-0.6,0.004999999999999949,0.004999999999999949,-0.255,-5.551115123125783e-17,-0.255,-0.25
1,1,0,3,487.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,0,0,1,0.15,0.15,0.05,0.1,0.05,0.65,-0.6000000000000001,-0.6000000000000001,-0.52,-0.56,-0.52,-0.6,-0.22500000000000003,-0.22500000000000003,-0.23500000000000001,-0.23000000000000004,-0.23500000000000001,0.025000000000000022
1,1,0,4,487.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,0,0,1,0,0.15,0.15,0.05,0.1,0.05,0.15,-0.6000000000000001,-0.6000000000000001,-0.52,-0.56,-0.52,-0.6,-0.22500000000000003,-0.22500000000000003,-0.23500000000000001,-0.23000000000000004,-0.23500000000000001,-0.22499999999999998
1,1,0,5,485.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,0,1,1,1,0,0.15,0.15,0.05,0.65,0.6,0.15,-0.52,-0.52,-0.44000000000000006,-0.52,-0.48,-0.52,-0.185,-0.185,-0.19500000000000003,0.065,0.06,-0.185
1,1,0,6,482.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,0,0,0.7,0.7,0.05,0.7,0.1,0.15,-0.43999999999999995,-0.43999999999999995,-0.31999999999999995,-0.43999999999999995,-0.36,-0.4,0.13,0.13,-0.13499999999999998,0.13,-0.13,-0.125
1,1,0,7,479.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,1,1,0,0.2,0.75,0.05,0.75,0.65,0.15,-0.32,-0.36,-0.2,-0.36,-0.27999999999999997,-0.27999999999999997,-0.06,0.195,-0.07500000000000001,0.195,0.18500000000000003,-0.06499999999999999
1,1,0,8,475.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,1,1,1,0.2,0.8,0.05,0.8,0.7,0.7,-0.16,-0.24,-0.039999999999999994,-0.24,-0.16,-0.16,0.020000000000000004,0.28,0.0050000000000000044,0.28,0.26999999999999996,0.26999999999999996
1,1,0,9,472.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,0,0,0.75,0.85,0.05,0.85,0.2,0.2,-0.08000000000000003,-0.16,0.07999999999999999,-0.16,-0.040000000000000036,-0.040000000000000036,0.33499999999999996,0.345,0.065,0.345,0.07999999999999999,0.07999999999999999
1,1,0,10,468.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,0,0.75,0.85,0.6,0.3,0.7,0.15,-0.12000000000000002,-0.2,-2.2204460492503132e-17,-0.16,-0.08000000000000003,-0.040000000000000015,0.315,0.32499999999999996,0.3,0.06999999999999999,0.30999999999999994,0.05499999999999999
1,1,0,11,465.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,0,1,0,0.75,0.85,0.05,0.3,0.75,0.1,-0.16000000000000003,-0.24000000000000005,-2.2204460492503132e-17,-0.2,-0.16000000000000003,-0.040000000000000036,0.295,0.30499999999999994,0.02499999999999999,0.04999999999999999,0.295,0.029999999999999985
1,1,0,12,460.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,1,0.75,0.85,0.6,0.25,0.8,0.65,-0.08000000000000003,-0.16,0.039999999999999966,-0.08000000000000003,-0.12000000000000002,-2.2204460492503132e-17,0.33499999999999996,0.345,0.31999999999999995,0.08499999999999999,0.34,0.325
1,1,0,13,456.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,0,1,0.8,0.9,0.65,0.25,0.3,0.65,0.0,-0.08000000000000003,0.12,0.039999999999999994,0.0,0.12,0.4,0.41,0.385,0.145,0.15,0.385
1,1,0,14,454.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],0,1,0,0,0,1,0.3,0.95,0.15,0.25,0.3,0.7,0.08,-0.040000000000000015,0.2,0.12,0.08,0.15999999999999998,0.19,0.45499999999999996,0.175,0.185,0.19,0.42999999999999994
1,1,0,15,450.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,0,1,1,0,0.85,1.0,0.15,0.75,0.8,0.2,0.12,-2.2204460492503132e-17,0.27999999999999997,0.19999999999999996,0.15999999999999998,0.23999999999999994,0.485,0.5,0.21499999999999997,0.475,0.48,0.21999999999999997
1,1,0,16,446.0,500,1000,[-1.],[-1.],[-1.],[-1.],[-1.],[-1.],1,1,1,0,1,0,0.85,1.0,0.7,0.2,0.85,0.2,0.16,0.039999999999999994,0.27999999999999997,0.27999999999999997,0.16,0.27999999999999997,0.505,0.52,0.49,0.24,0.505,0.24
